dateQ;dateP;P_mm;Q_ls_filled;Q_ls;year
2020-05-19 11:49:00;2020-05-19 11:49:00;0.0;36.8692069879432;36.8692069879432;2020
2020-05-19 11:54:00;2020-05-19 11:54:00;0.0;37.820690911216;37.820690911216;2020
2020-05-19 11:59:00;2020-05-19 11:59:00;0.0;38.14220075865365;;2020
2020-05-19 12:04:00;2020-05-19 12:04:00;0.0;38.4637106060913;38.4637106060913;2020
2020-05-19 12:09:00;2020-05-19 12:09:00;0.0;37.501790454253;37.501790454253;2020
2020-05-19 12:14:00;2020-05-19 12:14:00;0.0;38.4637106060913;38.4637106060913;2020
2020-05-19 12:19:00;2020-05-19 12:19:00;0.0;37.501790454253;37.501790454253;2020
2020-05-19 12:24:00;2020-05-19 12:24:00;0.0;36.8692069879432;36.8692069879432;2020
2020-05-19 12:29:00;2020-05-19 12:29:00;0.0;37.2932482829421;;2020
2020-05-19 12:34:00;2020-05-19 12:34:00;0.0;37.717289577941;;2020
2020-05-19 12:39:00;2020-05-19 12:39:00;0.0;38.1413308729399;38.1413308729399;2020
2020-05-19 12:44:00;2020-05-19 12:44:00;0.0;36.8692069879432;36.8692069879432;2020
2020-05-19 12:49:00;2020-05-19 12:49:00;0.0;37.501790454253;37.501790454253;2020
2020-05-19 12:54:00;2020-05-19 12:54:00;0.0;36.8692069879432;36.8692069879432;2020
2020-05-19 12:59:00;2020-05-19 12:59:00;0.0;37.1854987210981;;2020
2020-05-19 13:04:00;2020-05-19 13:04:00;0.0;37.501790454253;37.501790454253;2020
2020-05-19 13:09:00;2020-05-19 13:09:00;0.0;36.8692069879432;36.8692069879432;2020
2020-05-19 13:14:00;2020-05-19 13:14:00;0.0;36.76493554673218;;2020
2020-05-19 13:19:00;2020-05-19 13:19:00;0.0;36.66066410552117;;2020
2020-05-19 13:24:00;2020-05-19 13:24:00;0.0;36.55639266431015;;2020
2020-05-19 13:29:00;2020-05-19 13:29:00;0.0;36.452121223099134;;2020
2020-05-19 13:34:00;2020-05-19 13:34:00;0.0;36.34784978188812;;2020
2020-05-19 13:39:00;2020-05-19 13:39:00;0.0;36.2435783406771;36.2435783406771;2020
2020-05-19 13:44:00;2020-05-19 13:44:00;0.0;36.8692069879432;36.8692069879432;2020
2020-05-19 13:49:00;2020-05-19 13:49:00;0.0;36.2435783406771;36.2435783406771;2020
2020-05-19 13:54:00;2020-05-19 13:54:00;0.0;37.1846292353843;37.1846292353843;2020
2020-05-19 13:59:00;2020-05-19 13:59:00;0.0;35.3181709888183;35.3181709888183;2020
2020-05-19 14:04:00;2020-05-19 14:04:00;0.0;36.555523445263;36.555523445263;2020
2020-05-19 14:09:00;2020-05-19 14:09:00;0.0;36.34813943268156;;2020
2020-05-19 14:14:00;2020-05-19 14:14:00;0.0;36.140755420100135;;2020
2020-05-19 14:19:00;2020-05-19 14:19:00;0.0;35.9333714075187;35.9333714075187;2020
2020-05-19 14:24:00;2020-05-19 14:24:00;0.0;35.72830460128523;;2020
2020-05-19 14:29:00;2020-05-19 14:29:00;0.0;35.52323779505177;;2020
2020-05-19 14:34:00;2020-05-19 14:34:00;0.0;35.3181709888183;35.3181709888183;2020
2020-05-19 14:39:00;2020-05-19 14:39:00;0.0;36.555523445263;36.555523445263;2020
2020-05-19 14:44:00;2020-05-19 14:44:00;0.0;36.24444742639085;;2020
2020-05-19 14:49:00;2020-05-19 14:49:00;0.0;35.9333714075187;35.9333714075187;2020
2020-05-19 14:54:00;2020-05-19 14:54:00;0.0;36.036773718571496;;2020
2020-05-19 14:59:00;2020-05-19 14:59:00;0.0;36.1401760296243;;2020
2020-05-19 15:04:00;2020-05-19 15:04:00;0.0;36.2435783406771;36.2435783406771;2020
2020-05-19 15:09:00;2020-05-19 15:09:00;0.0;35.7808746647477;;2020
2020-05-19 15:14:00;2020-05-19 15:14:00;0.0;35.3181709888183;35.3181709888183;2020
2020-05-19 15:19:00;2020-05-19 15:19:00;0.0;35.9333714075187;35.9333714075187;2020
2020-05-19 15:24:00;2020-05-19 15:24:00;0.0;36.24444742639085;;2020
2020-05-19 15:29:00;2020-05-19 15:29:00;0.0;36.555523445263;36.555523445263;2020
2020-05-19 15:34:00;2020-05-19 15:34:00;0.0;35.9333714075187;35.9333714075187;2020
