name;n_points;dt_sec_nominal;duration_h;Q_max_ls;Qb_m3s_used;model;k_unique_s-1;k_fast_s-1;k_slow_s-1;t_break_h;R2_single;R2_two;R2_1;R2_2;BIC_single;BIC_two;delta_BIC
rec_20201220_0344;13;300.0;1.0833333333333333;426.936709408235;0.3385356273505855;single;0.00034827299922019606;;;;0.4950821905475391;;;;-17.44302758575774;;
rec_20201223_1704;10;300.0;0.75;90.3936101569745;0.0882120225697089;single;6.02172723055854e-07;;;;1.795285945793701e-06;;;;-14.368034143630078;;
rec_20210201_1429;11;300.0;0.8333333333333334;68.532571388925;0.0658161130285959;single;3.4786470039279546e-06;;;;6.164343012637907e-05;;;;-14.272731071590648;;
rec_20210315_1219;11;300.0;1.1666666666666667;13.7744748935337;0.0130994009820956;single;6.789282051589842e-05;;;;0.017713441359090365;;;;-4.151007229173013;;
rec_20210511_0109;19;300.0;1.8333333333333333;915.715793260213;0.618721409252428;single;0.0002637465783742696;;;;0.7184809308994669;;;;-35.123807242186544;;
rec_20210511_1119;13;300.0;1.3333333333333333;456.126687017394;0.4303217089451445;single;0.00018110048352915837;;;;0.14890136463447434;;;;-6.1816602405686565;;
rec_20210511_1624;23;300.0;2.6666666666666665;390.621502031675;0.355973010647586;single;0.00010653212681850871;;;;0.23985002620497942;;;;-25.939111816629136;;
rec_20210512_0239;11;300.0;0.8333333333333334;307.171450876522;0.294530355530473;single;4.845974871798696e-06;;;;0.0005936839830370522;;;;-31.900260764782356;;
rec_20210706_1359;11;300.0;0.8333333333333334;61.429371697795;0.03664962850806706;single;0.0005017549465140759;;;;0.32291299178732513;;;;-3.3907450432131547;;
rec_20210918_2029;11;300.0;0.8333333333333334;33.8105692753837;0.0240010080619214;single;8.106525504457911e-05;;;;0.018308312398810478;;;;-7.8370502038187215;;
rec_20211003_1409;14;300.0;1.0833333333333333;2818.275;1.18359;single;0.000562834497779123;;;;0.8594994370258808;;;;-30.849315026694512;;
rec_20211003_1619;16;300.0;1.5833333333333333;754.75166811102;0.6071980319198204;single;0.0003604191165225017;;;;0.5846253687985941;;;;-15.51635677598232;;
rec_20211003_2319;14;300.0;1.4166666666666667;564.918593717354;0.49972713156446147;single;0.00015235742193553636;;;;0.18262823231186665;;;;-13.565881460766995;;
rec_20211004_0619;10;300.0;0.8333333333333334;471.974698346516;0.44675110915822697;single;1.6341570710225889e-06;;;;0.00015919122611929293;;;;-37.31855123169724;;
rec_20211005_1444;12;300.0;0.9166666666666666;208.468650721171;0.20280912630880701;single;2.180891684092494e-06;;;;8.767690085675905e-05;;;;-29.161620383873338;;
rec_20211030_0829;12;300.0;1.25;1463.3;1.369925;single;9.936472149791585e-06;;;;0.054684519825214606;;;;-63.57505762262096;;
rec_20211031_0404;15;300.0;2.0;638.941320022366;0.585282128477439;single;0.00015640718874324945;;;;0.383968467202627;;;;-20.515966055882405;;
rec_20211101_0214;10;300.0;1.0833333333333333;732.620690408207;0.6678791011363561;single;1.3130490388360571e-05;;;;0.07154094250358323;;;;-50.66149006814204;;
rec_20211101_0344;14;300.0;1.5;653.437851691037;0.5750569559483142;single;0.00015879532982017382;;;;0.11718591974071402;;;;-3.354543545168558;;
rec_20211101_0539;19;300.0;1.75;562.979273306934;0.48143475650674683;single;0.00024048552997913428;;;;0.5443878146549185;;;;-28.914810286056625;;
rec_20211101_1254;12;300.0;0.9166666666666666;369.944590899576;0.3545915210805336;single;5.822960103110677e-06;;;;0.001513906446711455;;;;-39.79443277132101;;
rec_20211101_1419;11;300.0;0.9166666666666666;349.853999735451;0.328878671313982;single;4.351544707348528e-06;;;;0.0007554696206408806;;;;-34.05553632704199;;
rec_20211103_1304;13;300.0;1.1666666666666667;185.323934236084;0.169802437981268;single;0.00024395066454677006;;;;0.16018450647660842;;;;-3.3443278057891392;;
rec_20211107_1544;10;300.0;0.75;58.8816465944972;0.0575490084581183;single;3.508475289979376e-06;;;;4.412253756447271e-05;;;;-11.138671154456786;;
rec_20220401_0719;13;300.0;1.0;64.9247015243498;0.06246672432195934;single;1.6468222798081078e-06;;;;2.0411617516202796e-05;;;;-18.10523314990122;;
rec_20220428_0944;10;300.0;1.0;47.8265714008;0.04588907365332598;single;4.5748695240283926e-05;;;;0.012598159295432398;;;;-9.925478432825551;;
rec_20220428_1059;10;300.0;1.0;47.4571170391046;0.044919836773874504;single;1.5706018381130797e-05;;;;0.0014703433241051167;;;;-9.515242180612121;;
rec_20220623_1119;14;300.0;1.0833333333333333;58.4631687661659;0.029225751426551018;single;0.0005721289661598205;;;;0.5282505424892296;;;;-6.618483962828912;;
rec_20220805_1424;10;300.0;0.75;27.1776345743838;0.019037814506739168;single;9.245344921111666e-05;;;;0.01647981387269526;;;;-5.10313483404993;;
rec_20221021_0219;17;300.0;1.3333333333333333;84.0921818940686;0.040101715176595804;single;0.0004367632978790828;;;;0.5886998044581685;;;;-15.502187132565512;;
rec_20221219_1449;10;300.0;0.75;115.685830941538;0.1104720670514316;single;0.00013284894450484068;;;;0.014445060908521379;;;;3.485518286262354;;
rec_20221219_1639;13;300.0;1.0;110.831009458829;0.10550564420496;single;7.130496240112941e-06;;;;0.0005801234863811455;;;;-23.52142395252559;;
rec_20221226_1419;12;300.0;0.9166666666666666;48.1977730005895;0.04567211668582974;single;7.190913110004662e-06;;;;0.0002523262401493698;;;;-13.21434492225842;;
rec_20221227_0049;10;300.0;0.75;44.5643507169326;0.0428130876703033;single;2.500727701776992e-06;;;;1.8512318696317642e-05;;;;-9.225067477038762;;
rec_20230103_0209;11;300.0;0.8333333333333334;63.6007718870195;0.058046445375928596;single;1.9488573901022615e-05;;;;0.0018138512954546382;;;;-13.582206291245992;;
rec_20230103_0354;14;300.0;1.0833333333333333;54.7757860254186;0.0508451292657531;single;1.4004345156949602e-05;;;;0.0015730250839799398;;;;-18.57015052768946;;
