dateP;dateQ;P_mm;Q_ls
2024-04-30 20:14:00;2024-04-30 20:14:00;0.0;213.062968405738
2024-04-30 20:19:00;2024-04-30 20:19:00;0.0;
2024-04-30 20:24:00;2024-04-30 20:24:00;0.0;216.547530827961
2024-04-30 20:29:00;2024-04-30 20:29:00;0.0;213.062968405738
2024-04-30 20:34:00;2024-04-30 20:34:00;0.0;
2024-04-30 20:39:00;2024-04-30 20:39:00;0.0;
2024-04-30 20:44:00;2024-04-30 20:44:00;0.0;
2024-04-30 20:49:00;2024-04-30 20:49:00;0.0;209.611677898335
2024-04-30 20:54:00;2024-04-30 20:54:00;0.0;
2024-04-30 20:59:00;2024-04-30 20:59:00;0.0;211.908838719144
2024-04-30 21:04:00;2024-04-30 21:04:00;0.0;209.611677898335
2024-04-30 21:09:00;2024-04-30 21:09:00;0.0;
2024-04-30 21:14:00;2024-04-30 21:14:00;0.0;
2024-04-30 21:19:00;2024-04-30 21:19:00;0.0;
2024-04-30 21:24:00;2024-04-30 21:24:00;0.0;203.933609733065
2024-04-30 21:29:00;2024-04-30 21:29:00;0.0;
2024-04-30 21:34:00;2024-04-30 21:34:00;0.0;
2024-04-30 21:39:00;2024-04-30 21:39:00;0.0;
2024-04-30 21:44:00;2024-04-30 21:44:00;0.0;201.688357570707
2024-04-30 21:49:00;2024-04-30 21:49:00;0.0;207.329328337536
2024-04-30 21:54:00;2024-04-30 21:54:00;0.0;205.061805864957
2024-04-30 21:59:00;2024-04-30 21:59:00;0.0;
2024-04-30 22:04:00;2024-04-30 22:04:00;0.0;200.571305497294
2024-04-30 22:09:00;2024-04-30 22:09:00;0.0;198.348359258626
2024-04-30 22:14:00;2024-04-30 22:14:00;0.0;202.809126308807
2024-04-30 22:19:00;2024-04-30 22:19:00;0.0;
2024-04-30 22:24:00;2024-04-30 22:24:00;0.0;199.457972067091
2024-04-30 22:29:00;2024-04-30 22:29:00;0.0;
2024-04-30 22:34:00;2024-04-30 22:34:00;0.0;197.242469050425
2024-04-30 22:39:00;2024-04-30 22:39:00;0.0;203.933609733065
2024-04-30 22:44:00;2024-04-30 22:44:00;0.0;198.348359258626
2024-04-30 22:49:00;2024-04-30 22:49:00;0.0;
2024-04-30 22:54:00;2024-04-30 22:54:00;0.0;202.809126308807
2024-04-30 22:59:00;2024-04-30 22:59:00;0.0;196.140303421014
2024-04-30 23:04:00;2024-04-30 23:04:00;0.0;193.947153812666
2024-04-30 23:09:00;2024-04-30 23:09:00;0.0;197.242469050425
2024-04-30 23:14:00;2024-04-30 23:14:00;0.0;199.457972067091
2024-04-30 23:19:00;2024-04-30 23:19:00;0.0;
2024-04-30 23:24:00;2024-04-30 23:24:00;0.0;193.947153812666
2024-04-30 23:29:00;2024-04-30 23:29:00;0.0;
2024-04-30 23:34:00;2024-04-30 23:34:00;0.0;198.348359258626
2024-04-30 23:39:00;2024-04-30 23:39:00;0.0;
2024-04-30 23:44:00;2024-04-30 23:44:00;0.0;192.85617379078
2024-04-30 23:49:00;2024-04-30 23:49:00;0.0;198.348359258626
2024-04-30 23:54:00;2024-04-30 23:54:00;0.0;190.685413204219
2024-04-30 23:59:00;2024-04-30 23:59:00;0.0;
2024-05-01 00:04:00;2024-05-01 00:04:00;0.0;192.85617379078
2024-05-01 00:09:00;2024-05-01 00:09:00;0.0;195.041864348919
2024-05-01 00:14:00;2024-05-01 00:14:00;0.0;192.85617379078
2024-05-01 00:19:00;2024-05-01 00:19:00;0.0;
2024-05-01 00:24:00;2024-05-01 00:24:00;0.0;
2024-05-01 00:29:00;2024-05-01 00:29:00;0.0;189.605636596595
2024-05-01 00:34:00;2024-05-01 00:34:00;0.0;
2024-05-01 00:39:00;2024-05-01 00:39:00;0.0;193.947153812666
2024-05-01 00:44:00;2024-05-01 00:44:00;0.0;188.529598417443
2024-05-01 00:49:00;2024-05-01 00:49:00;0.0;193.947153812666
2024-05-01 00:54:00;2024-05-01 00:54:00;0.0;
2024-05-01 00:59:00;2024-05-01 00:59:00;0.0;190.685413204219
2024-05-01 01:04:00;2024-05-01 01:04:00;0.0;187.45730064529
2024-05-01 01:09:00;2024-05-01 01:09:00;0.0;190.685413204219
2024-05-01 01:14:00;2024-05-01 01:14:00;0.0;188.529598417443
2024-05-01 01:19:00;2024-05-01 01:19:00;0.0;186.388745258662
2024-05-01 01:24:00;2024-05-01 01:24:00;0.0;188.529598417443
2024-05-01 01:29:00;2024-05-01 01:29:00;0.0;
2024-05-01 01:34:00;2024-05-01 01:34:00;0.0;
2024-05-01 01:39:00;2024-05-01 01:39:00;0.0;186.388745258662
2024-05-01 01:44:00;2024-05-01 01:44:00;0.0;191.76892626179
2024-05-01 01:49:00;2024-05-01 01:49:00;0.0;189.605636596595
2024-05-01 01:54:00;2024-05-01 01:54:00;0.0;187.45730064529
2024-05-01 01:59:00;2024-05-01 01:59:00;0.0;185.323934236084
2024-05-01 02:04:00;2024-05-01 02:04:00;0.0;182.151987137918
2024-05-01 02:09:00;2024-05-01 02:09:00;0.0;187.45730064529
2024-05-01 02:14:00;2024-05-01 02:14:00;0.0;
2024-05-01 02:19:00;2024-05-01 02:19:00;0.0;183.205553197186
2024-05-01 02:24:00;2024-05-01 02:24:00;0.0;187.45730064529
2024-05-01 02:29:00;2024-05-01 02:29:00;0.0;
2024-05-01 02:34:00;2024-05-01 02:34:00;0.0;185.323934236084
2024-05-01 02:39:00;2024-05-01 02:39:00;0.0;182.151987137918
2024-05-01 02:44:00;2024-05-01 02:44:00;0.0;
2024-05-01 02:49:00;2024-05-01 02:49:00;0.0;184.262869556083
2024-05-01 02:54:00;2024-05-01 02:54:00;0.0;181.102173356804
2024-05-01 02:59:00;2024-05-01 02:59:00;0.0;179.013810543148
2024-05-01 03:04:00;2024-05-01 03:04:00;0.0;186.388745258662
