year;event_id;i0;i1;hp_mm;hr_mm;P_ante_mm;Q0_Ls;V_excess_m3;preflow_class;t_start;t_end;t_peak;delta_hours_prev_end_to_start;delta_hours_prev_peak_to_peak;sequence_id;rank_in_sequence;sequence_size;n_prev_in_sequence;memory_class
2023;1;19530;27698;70.0;6.31814165633257;0.0;23.0823015481676;5117.6947416293815;très humide (>15 L/s);2023-03-09 19:34:00;2023-04-07 04:14:00;2023-03-13 23:09:00;1627.5833333333333;1812.6666666666667;39;1;1;0;isolé & sec
2023;2;28847;31404;10.0;0.028540079791475107;0.0;8.35923600044172;23.117464631094837;humide (5–15 L/s);2023-04-11 03:59:00;2023-04-20 01:04:00;2023-04-14 20:54:00;95.75;765.75;40;1;4;0;isolé & sec
2023;3;31745;33972;11.5;0.12880688513159771;0.0;5.7609205462217;104.33357695659416;humide (5–15 L/s);2023-04-21 05:29:00;2023-04-28 23:04:00;2023-04-23 17:04:00;28.416666666666668;212.16666666666666;40;2;4;1;enchaîné, peu de Pante
2023;4;34080;35530;6.5;0.02546627892556524;0.0;5.21219815302954;20.627685929707845;humide (5–15 L/s);2023-04-29 08:04:00;2023-05-04 08:54:00;2023-04-29 11:14:00;9.0;138.16666666666666;40;3;4;2;enchaîné, peu de Pante
2023;5;36356;39600;28.5;0.33610063373027993;0.0;3.64957749536742;272.2415133215268;sec (1–5 L/s);2023-05-07 05:44:00;2023-05-18 12:04:00;2023-05-13 05:49:00;68.83333333333333;330.5833333333333;40;4;4;3;enchaîné, peu de Pante
2023;6;41039;47438;131.5;14.616932746716632;0.0;6.45060312607585;11839.715524840472;humide (5–15 L/s);2023-05-23 11:59:00;2023-06-14 17:14:00;2023-06-09 17:04:00;119.91666666666667;659.25;41;1;1;0;isolé & sec
2023;7;54098;56748;6.0;0.01668035250519639;0.0;9.511114498328;13.511085529209076;humide (5–15 L/s);2023-07-07 20:14:00;2023-07-17 01:04:00;2023-07-08 01:19:00;555.0;680.25;42;1;1;0;isolé & sec
2023;8;58759;60600;3.0;0.014756079123971408;0.0;2.952780815091;11.95242409041684;sec (1–5 L/s);2023-07-24 00:39:00;2023-07-30 10:04:00;2023-07-24 14:44:00;167.58333333333334;397.4166666666667;43;1;1;0;isolé & sec
2023;9;68327;70524;44.0;0.26575412882517835;0.0;0.590577693725108;215.26084434839447;très sec (Q0 < 1 L/s);2023-08-26 05:59:00;2023-09-02 21:04:00;2023-08-26 23:19:00;643.9166666666666;800.5833333333334;44;1;1;0;isolé & sec
2023;10;83217;86603;274.5;118.75070434374025;0.0;4.86749283303517;96188.07051842961;sec (1–5 L/s);2023-10-16 22:49:00;2023-10-28 16:59:00;2023-10-23 17:24:00;1057.75;1386.0833333333333;45;1;2;0;isolé & sec
